League,Player,Team,TS%,eFG%,Total S %,ORB%,DRB%,TRB%,AST%,TOV%,STL%,BLK%,USG%,PPR,PPS,ORtg,DRtg,eDiff,FIC,PER
2010-2011 NBA NBA Summer League Stats,Andre Brown,GSW,.451,.433,93.3,9.8,29.1,18.7,1.7,12.7,0.9,1.3,15.1,-3.6,1.0,91.7,91.0,0.7,26.3,11.1
2010-2011 NBA NBA Summer League Stats,Jerome Jordan,NYK,.667,.636,132.9,9.3,21.9,14.9,3.5,33.6,1.6,2.6,18.3,-12.5,1.7,94.7,102.5,-7.8,11.9,11.1
2010-2011 NBA NBA Summer League Stats,Antywane Robinson,MIA,.486,.486,97.2,7.3,3.0,5.0,3.3,16.3,2.5,0.7,15.4,-4.5,1.0,93.3,93.7,-0.4,16.8,11.1
2010-2011 NBA NBA Summer League Stats,Jonas Jerebko,DET,.529,.417,133.3,8.7,13.7,11.3,7.8,21.5,0.6,-,18.0,-6.0,1.3,101.9,104.1,-2.2,10.5,11.0
2010-2011 NBA NBA Summer League Stats,Larry Owens,SEL,.425,.400,120.0,4.8,8.4,6.5,8.3,12.4,3.9,-,20.7,-3.0,0.9,87.7,108.6,-20.9,10.5,10.9
2010-2011 NBA NBA Summer League Stats,DeAndre Jordan,LAC,.499,.519,92.5,7.9,23.3,15.0,2.5,29.3,0.9,5.5,22.7,-14.2,1.5,75.1,94.7,-19.6,18.3,10.8
2010-2011 NBA NBA Summer League Stats,Zachery Peacock,MIA,.673,.667,126.7,9.8,7.0,8.2,-,16.1,-,-,15.9,-5.7,2.3,120.8,97.0,23.8,0.6,10.7
2010-2011 NBA NBA Summer League Stats,A.J. Slaughter,DET,.498,.433,144.8,2.4,5.0,3.7,11.3,14.2,-,-,17.7,-1.9,1.2,102.5,113.2,-10.7,5.1,10.6
2010-2011 NBA NBA Summer League Stats,Brian Chase,GSW,.424,.372,146.6,2.5,8.6,5.3,35.6,22.4,1.6,-,23.5,0.3,0.9,82.6,95.6,-13.0,20.4,10.5
2010-2011 NBA NBA Summer League Stats,Hassan Whiteside,SAC,.443,.439,85.6,4.7,16.6,10.5,-,17.8,1.2,6.6,14.6,-5.8,1.0,80.6,91.1,-10.4,29.5,10.2
2010-2011 NBA NBA Summer League Stats,Gary Forbes,LAC,.351,.348,126.1,10.4,15.8,13.2,11.7,7.2,1.7,-,21.1,1.1,0.8,85.3,95.3,-10.0,10.0,9.9
2010-2011 NBA NBA Summer League Stats,J.R. Giddens,DAL,.435,.429,156.7,4.5,14.0,9.3,6.8,16.0,2.0,1.2,14.7,-2.8,0.9,87.3,95.2,-7.8,19.8,9.9
2010-2011 NBA NBA Summer League Stats,D'Andre Bell,MIA,.515,.333,133.3,-,15.6,8.7,9.1,11.4,2.6,-,10.0,0.8,1.3,109.3,88.2,21.1,4.8,9.8
2010-2011 NBA NBA Summer League Stats,Jeff Ayres,POR,.375,.341,92.4,8.5,27.2,17.9,8.8,16.9,1.2,2.1,21.4,-4.8,0.8,78.6,80.5,-1.9,22.8,9.8
2010-2011 NBA NBA Summer League Stats,Dominic James,MIL,.385,.316,91.6,1.2,2.4,1.8,37.3,25.5,3.3,0.8,14.3,5.5,0.9,86.9,98.8,-11.8,14.5,9.6
2010-2011 NBA NBA Summer League Stats,Rod Benson,LAC,.381,.357,78.6,12.4,13.5,12.9,-,19.0,2.7,7.0,23.5,-10.1,0.9,73.4,97.1,-23.7,4.4,9.5
2010-2011 NBA NBA Summer League Stats,Connor Atchley,SAC,.434,.405,171.4,9.5,16.6,12.9,-,8.4,-,1.4,18.0,-3.3,0.9,93.2,95.3,-2.1,6.5,9.3
2010-2011 NBA NBA Summer League Stats,Nikola Dragovic,NOP,.571,.500,176.2,7.6,16.3,11.8,-,27.6,-,-,15.2,-9.3,1.3,94.2,112.8,-18.6,4.0,9.1
2010-2011 NBA NBA Summer League Stats,Jason Rich,GSW,.437,.440,140.0,2.3,9.3,5.5,19.4,16.0,1.1,-,15.3,1.1,0.9,86.8,96.5,-9.7,12.9,8.9
2010-2011 NBA NBA Summer League Stats,Eric Tramiel,DAL,.363,.333,83.3,13.7,6.7,10.2,-,12.7,3.2,-,10.5,-3.0,0.8,87.6,87.8,-0.2,4.8,8.8
2010-2011 NBA NBA Summer League Stats,O.J. Mayo,MEM,.557,.478,129.6,-,7.6,3.7,18.8,35.0,2.2,-,27.8,-15.7,1.3,79.2,93.8,-14.5,1.1,8.7
2010-2011 NBA NBA Summer League Stats,DeMarre Carroll,MEM,.412,.372,85.5,5.6,14.2,10.0,4.4,13.9,1.6,0.5,18.2,-3.9,1.1,85.2,94.5,-9.3,16.6,8.7
2010-2011 NBA NBA Summer League Stats,Patrick Beverley,MIA,.420,.348,104.8,5.8,18.4,12.6,13.6,32.2,4.6,1.8,17.8,-8.1,1.0,71.6,79.2,-7.6,14.8,8.6
2010-2011 NBA NBA Summer League Stats,Mike Green,POR,.436,.417,108.3,3.4,3.5,3.4,26.4,22.5,1.6,-,11.8,4.1,1.0,95.1,89.0,6.0,4.5,8.5
2010-2011 NBA NBA Summer League Stats,Darren Collison,NOP,.327,.250,100.0,2.6,2.9,2.8,35.4,12.7,-,2.1,19.4,7.3,0.8,80.2,102.2,-21.9,4.3,8.4
2010-2011 NBA NBA Summer League Stats,Will Blalock,GSW,.326,.281,158.3,1.5,15.3,7.6,29.3,22.9,2.2,1.1,14.3,3.3,0.7,74.2,91.7,-17.5,12.8,8.1
2010-2011 NBA NBA Summer League Stats,Amara Sy,DAL,.512,.500,100.0,6.0,14.9,10.4,-,29.1,1.4,2.2,15.9,-10.4,1.3,77.8,92.0,-14.1,4.3,8.0
2010-2011 NBA NBA Summer League Stats,Eric Boateng,NYK,.486,.400,115.0,9.0,24.8,16.0,7.4,24.5,0.8,3.9,16.6,-6.1,1.2,91.0,102.6,-11.6,7.0,7.9
2010-2011 NBA NBA Summer League Stats,DeMarcus Nelson,MIL,.399,.304,92.9,2.2,9.8,6.0,15.2,23.1,2.6,0.8,17.0,-3.0,1.0,79.1,96.2,-17.1,11.0,7.8
2010-2011 NBA NBA Summer League Stats,Brandon Johnson,PHX,.434,.375,108.3,7.0,8.9,7.8,12.3,14.8,-,-,18.3,-2.0,1.3,90.6,118.2,-27.6,1.3,7.7
2010-2011 NBA NBA Summer League Stats,John Bryant,MIL,.500,.500,50.0,-,38.6,19.8,-,-,-,-,7.6,-,1.0,110.1,93.1,17.0,1.5,7.7
2010-2011 NBA NBA Summer League Stats,Raymar Morgan,WAS,.415,.286,95.2,13.3,22.4,18.0,3.1,29.3,3.4,-,12.4,-7.0,1.1,81.9,97.7,-15.8,7.3,7.6
2010-2011 NBA NBA Summer League Stats,Ryan Wittman,NYK,.394,.313,145.0,10.8,6.8,9.0,-,10.1,-,-,19.8,-4.5,0.9,90.1,111.7,-21.6,1.5,7.5
2010-2011 NBA NBA Summer League Stats,Chas McFarland,HOU,.333,.333,33.3,15.9,-,8.5,-,-,-,-,20.1,-,0.7,87.8,114.0,-26.2,0.3,7.5
2010-2011 NBA NBA Summer League Stats,Ron Howard,NYK,.000,.000,0.0,-,16.5,7.2,14.4,-,-,-,-,7.4,0.0,225.4,110.9,114.5,1.8,7.4
2010-2011 NBA NBA Summer League Stats,Ryan Ayers,LAC,.337,.273,127.3,7.9,8.7,8.2,-,-,2.3,-,11.8,-,0.7,86.3,101.3,-14.9,4.3,7.4
2010-2011 NBA NBA Summer League Stats,Hamady Ndiaye,WAS,.508,.462,121.2,6.4,15.7,11.5,-,28.9,-,6.4,13.5,-8.8,1.2,81.7,102.8,-21.1,8.5,7.4
2010-2011 NBA NBA Summer League Stats,Matt Bouldin,CHI,.467,.419,168.8,-,10.1,5.3,17.7,29.7,2.4,-,16.8,-4.6,1.0,78.2,98.5,-20.3,12.1,7.4
2010-2011 NBA NBA Summer League Stats,Sean Denison,SAS,.545,.545,78.8,3.4,20.2,11.8,4.3,26.7,2.5,2.3,16.1,-8.0,1.1,86.4,84.6,1.8,3.3,7.3
2010-2011 NBA NBA Summer League Stats,Marcus Johnson,PHX,.595,.600,170.0,-,4.1,2.0,-,25.4,1.6,1.2,16.5,-9.4,1.4,87.5,107.1,-19.6,0.5,7.2
2010-2011 NBA NBA Summer League Stats,Andy Rautins,NYK,.426,.426,59.3,2.7,6.7,4.5,8.5,15.0,1.6,-,13.4,-1.0,0.9,90.0,108.4,-18.4,12.0,7.0
2010-2011 NBA NBA Summer League Stats,Sean Sonderleiter,NOP,.523,.467,126.7,4.6,29.7,16.7,7.3,28.9,0.7,-,14.2,-6.5,1.2,86.1,103.6,-17.4,9.4,7.0
2010-2011 NBA NBA Summer League Stats,Jeremy Pargo,MIN,.410,.356,114.7,0.8,10.7,5.7,26.3,30.5,3.6,-,21.3,-5.5,1.0,69.3,89.4,-20.1,14.4,6.9
2010-2011 NBA NBA Summer League Stats,Tremaine Ford,GSW,.450,.500,50.0,7.9,23.1,14.9,7.1,18.4,-,-,9.1,-1.2,1.0,90.1,93.1,-3.1,4.4,6.6
2010-2011 NBA NBA Summer League Stats,Jimmy Baron,POR,.417,.417,66.7,-,6.0,3.1,8.5,14.3,-,-,17.3,-1.9,0.8,84.5,94.6,-10.1,1.3,6.3
2010-2011 NBA NBA Summer League Stats,Mo Charlo,MIN,.424,.308,105.8,7.6,5.7,6.7,5.9,26.6,3.2,2.5,15.8,-7.2,1.1,74.8,89.9,-15.1,3.5,6.1
2010-2011 NBA NBA Summer League Stats,James Johnson,CHI,.410,.350,125.8,2.7,11.5,7.3,16.1,23.5,1.8,4.4,20.4,-4.9,1.0,76.8,96.3,-19.5,9.0,6.1
2010-2011 NBA NBA Summer League Stats,Tyrell Biggs,CHI,.344,.333,83.3,5.0,12.1,8.7,2.4,17.5,2.7,1.2,13.4,-4.3,0.7,68.6,96.8,-28.2,8.3,6.1
2010-2011 NBA NBA Summer League Stats,Eric Bledsoe,LAC,.444,.398,117.2,1.9,12.8,7.1,24.0,35.5,2.3,0.5,21.7,-10.5,1.1,67.4,97.2,-29.7,14.0,6.0
2010-2011 NBA NBA Summer League Stats,Greivis Vasquez,MEM,.437,.405,137.3,0.9,7.8,4.5,25.2,32.2,1.9,0.6,19.1,-4.1,0.9,76.6,96.3,-19.7,10.4,6.0
2010-2011 NBA NBA Summer League Stats,Lawrence Westbrook,MIN,.384,.326,150.4,5.1,3.4,4.3,16.9,22.0,1.4,2.3,20.0,-4.1,0.8,73.5,94.7,-21.2,3.3,5.6
2010-2011 NBA NBA Summer League Stats,Richard Roby,DEN,.378,.351,96.9,3.3,15.0,9.3,7.5,13.5,0.9,-,20.2,-3.1,0.9,78.1,95.9,-17.8,7.0,5.6
2010-2011 NBA NBA Summer League Stats,Gary Forbes,LAC,.300,.300,70.0,9.0,-,4.5,33.4,-,-,-,16.8,9.6,0.6,90.4,99.8,-9.4,0.8,5.2
2010-2011 NBA NBA Summer League Stats,Yue Sun,MIL,.461,.375,112.5,-,-,-,38.1,38.1,-,-,17.6,-1.7,1.1,79.3,108.1,-28.8,2.5,5.2
2010-2011 NBA NBA Summer League Stats,Mickell Gladness,MIA,.645,.500,130.0,5.7,16.5,12.0,-,44.6,3.5,3.4,16.9,-16.7,2.0,75.6,84.0,-8.4,0.6,4.8
2010-2011 NBA NBA Summer League Stats,Kurt Looby,SEL,.325,.222,97.2,15.5,23.7,19.4,2.0,39.4,-,4.6,9.6,-7.7,0.8,69.7,106.7,-37.0,13.5,4.8
2010-2011 NBA NBA Summer League Stats,Joe Krabbenhoft,POR,.293,.182,84.8,2.4,26.1,14.4,6.3,6.8,3.2,-,13.5,0.7,0.7,74.8,77.9,-3.1,4.3,4.6
2010-2011 NBA NBA Summer League Stats,Maarty Leunen,HOU,.401,.321,122.9,7.6,13.1,10.4,5.7,30.2,2.0,-,13.4,-6.3,0.9,73.6,98.4,-24.8,6.4,4.4
2010-2011 NBA NBA Summer League Stats,Lee Cummard,SAC,.205,.000,100.0,-,16.1,7.7,15.2,-,-,-,4.9,6.0,0.5,78.5,98.0,-19.5,2.4,4.4
2010-2011 NBA NBA Summer League Stats,Anton Ponkrashov,PHX,.284,.182,75.3,3.1,10.4,6.5,22.8,22.1,2.7,2.1,20.3,-1.7,0.7,64.4,105.1,-40.6,2.4,4.2
2010-2011 NBA NBA Summer League Stats,Sergii Gladyr,ATL,.385,.316,143.0,2.6,5.0,3.9,3.2,19.4,4.0,-,22.5,-8.5,0.8,76.3,101.0,-24.7,-1.8,4.2
2010-2011 NBA NBA Summer League Stats,Tiny Gallon,MIL,.410,.395,125.4,17.8,27.1,22.4,4.4,33.2,-,3.4,27.7,-19.6,0.9,66.1,93.5,-27.4,8.6,4.1
2010-2011 NBA NBA Summer League Stats,Gavin Edwards,PHX,.520,.500,116.7,13.6,14.9,14.2,3.1,38.8,0.8,-,20.5,-16.7,1.1,71.9,106.8,-34.9,1.6,4.1
2010-2011 NBA NBA Summer League Stats,Ibrahim Jaaber,LAL,.316,.295,93.9,1.5,3.2,2.3,26.0,22.8,1.8,1.1,15.7,1.9,0.7,72.5,105.3,-32.8,4.5,4.0
2010-2011 NBA NBA Summer League Stats,Yue Sun,MIL,.338,.281,116.7,-,3.7,2.0,26.5,31.1,0.8,3.9,18.0,-2.1,0.8,70.9,101.5,-30.6,4.0,3.9
2010-2011 NBA NBA Summer League Stats,Taylor Griffin,PHX,.299,.267,115.0,5.0,14.3,9.4,8.5,20.1,1.7,2.5,14.8,-3.3,0.6,64.7,103.8,-39.1,7.8,3.4
2010-2011 NBA NBA Summer League Stats,Charles Garcia,NYK,.307,.250,75.0,-,18.9,8.2,-,-,-,-,26.8,-,0.8,76.5,109.9,-33.4,-0.5,3.3
2010-2011 NBA NBA Summer League Stats,Paul Delaney,MIL,.467,.250,97.7,2.3,2.2,2.3,16.6,41.2,3.2,-,19.6,-11.6,1.5,68.6,98.7,-30.1,-0.4,3.2
2010-2011 NBA NBA Summer League Stats,Carlos Powell,NYK,.439,.357,140.0,4.9,16.4,10.0,4.2,29.1,1.4,1.2,14.8,-7.8,1.1,75.8,105.3,-29.5,1.9,3.0
2010-2011 NBA NBA Summer League Stats,Joe Ingles,GSW,.322,.250,145.0,3.0,15.8,8.9,5.2,21.6,2.2,-,9.0,-2.3,0.7,65.6,94.8,-29.3,5.0,3.0
2010-2011 NBA NBA Summer League Stats,Kashif Watson,GSW,.276,.300,30.0,8.4,5.1,6.9,17.3,8.4,2.1,-,21.8,1.4,0.6,68.7,96.8,-28.2,-,2.9
2010-2011 NBA NBA Summer League Stats,Kosuke Takeuchi,MIN,.500,.500,50.0,7.8,17.2,12.3,-,33.3,-,-,8.8,-6.4,1.0,74.8,98.5,-23.6,1.0,2.9
2010-2011 NBA NBA Summer League Stats,Jack McClinton,CHI,.404,.340,148.7,-,9.7,5.1,16.5,28.8,1.4,-,24.0,-9.6,0.9,67.8,100.6,-32.8,-1.6,2.7
2010-2011 NBA NBA Summer League Stats,A.J. Ogilvy,CHI,.190,.143,64.3,20.9,4.8,12.5,13.3,20.2,2.0,-,17.1,-2.5,0.4,62.2,108.8,-46.6,1.8,2.4
2010-2011 NBA NBA Summer League Stats,Trey Johnson,LAC,.392,.346,135.7,0.9,5.7,3.2,12.6,19.2,0.4,-,17.4,-3.9,0.8,74.1,103.6,-29.5,-3.9,2.4
2010-2011 NBA NBA Summer League Stats,Blake Ahearn,HOU,.331,.214,115.8,-,5.2,2.8,25.2,23.1,1.2,-,23.7,-0.8,0.8,68.7,99.4,-30.7,-0.3,2.2
2010-2011 NBA NBA Summer League Stats,Josh Carter,NOP,.349,.294,105.7,-,10.0,4.8,1.9,9.1,-,0.9,11.3,-1.5,0.8,75.5,109.4,-33.9,-0.1,2.2
2010-2011 NBA NBA Summer League Stats,Justin Dentmon,MEM,.326,.286,95.2,-,9.2,5.0,8.9,16.4,1.4,-,22.1,-4.4,0.7,67.9,99.7,-31.7,-1.4,2.1
2010-2011 NBA NBA Summer League Stats,Armon Bassett,NOP,.451,.333,108.3,-,13.4,6.7,8.4,43.6,1.3,-,15.6,-11.5,1.2,59.6,105.9,-46.3,0.5,2.0
2010-2011 NBA NBA Summer League Stats,Yue Sun,MIL,.188,.188,62.5,-,10.2,5.7,13.7,20.0,2.4,10.9,19.7,-3.0,0.4,50.6,91.6,-41.0,1.5,1.8
2010-2011 NBA NBA Summer League Stats,Dexter Pittman,MIA,.432,.313,104.0,4.8,19.0,12.3,-,34.5,0.9,7.3,23.8,-18.0,1.1,62.5,86.8,-24.3,-1.9,1.3
2010-2011 NBA NBA Summer League Stats,Bennet Davis,SEL,.282,.200,91.4,12.8,18.5,15.5,-,17.8,-,2.4,19.7,-7.9,0.7,65.0,109.5,-44.5,1.1,1.2
2010-2011 NBA NBA Summer League Stats,Sofoklis Schortsanitis,LAC,.427,.333,79.5,10.3,24.2,16.6,-,43.4,-,6.5,16.8,-16.2,1.7,56.6,95.5,-39.0,2.6,1.1
2010-2011 NBA NBA Summer League Stats,Jamar Smith,MIN,.353,.273,102.3,3.2,-,1.6,15.4,28.2,1.4,-,21.2,-7.8,0.8,62.1,97.5,-35.4,-1.8,0.9
2010-2011 NBA NBA Summer League Stats,Ryan Toolson,PHX,.333,.333,33.3,-,-,-,-,-,-,-,9.5,-,0.7,77.3,119.9,-42.6,-0.8,0.6
2010-2011 NBA NBA Summer League Stats,Cedric Simmons,MIN,.460,.500,50.0,5.7,19.0,12.4,3.0,47.9,1.6,1.3,14.7,-14.3,1.0,51.3,90.0,-38.7,1.8,0.4
2010-2011 NBA NBA Summer League Stats,Ricky Franklin,MIL,.222,.222,22.2,5.5,16.4,11.0,18.3,10.0,-,-,21.3,1.6,0.4,61.2,100.0,-38.9,0.5,0.2
2010-2011 NBA NBA Summer League Stats,Jeremy Richardson,LAC,.260,.231,123.1,1.5,8.5,4.8,6.2,6.9,1.4,-,17.2,-0.9,0.5,60.3,100.6,-40.3,-3.5,0.2
2010-2011 NBA NBA Summer League Stats,Greg Stiemsma,MIN,.190,.143,64.3,1.7,16.8,9.3,9.5,50.4,1.4,9.0,9.9,-7.2,0.4,32.4,86.4,-54.0,5.0,0.1
2010-2011 NBA NBA Summer League Stats,Moussa Seck,DAL,.205,.250,25.0,-,38.6,19.3,-,45.0,-,12.5,14.8,-15.0,0.5,22.7,80.3,-57.6,2.5,-
2010-2011 NBA NBA Summer League Stats,J.P. Prince,WAS,.563,.500,150.0,4.6,7.9,6.4,4.9,47.4,-,-,12.3,-10.9,1.3,68.5,113.8,-45.4,-0.9,-
2010-2011 NBA NBA Summer League Stats,Aaron Pettway,WAS,.500,.500,50.0,8.1,29.9,20.1,-,66.7,1.5,7.3,7.5,-11.2,1.0,46.7,92.1,-45.4,2.3,-0.3
2010-2011 NBA NBA Summer League Stats,Donald Sloan,SAC,.335,.222,92.2,1.3,8.4,4.7,9.8,28.7,-,-,15.9,-6.5,0.8,59.7,101.7,-42.0,-2.8,-0.6
2010-2011 NBA NBA Summer League Stats,Cecil Brown,LAL,.361,.214,121.4,-,9.0,4.4,8.8,26.5,0.7,-,13.7,-4.5,0.9,67.8,107.9,-40.1,-5.0,-0.7
2010-2011 NBA NBA Summer League Stats,Cezary Trybanski,SEL,.258,.167,66.7,14.9,13.9,14.4,-,43.6,1.1,3.3,13.1,-12.9,0.7,50.9,107.8,-56.9,1.3,-0.7
2010-2011 NBA NBA Summer League Stats,Tyler Sanborn,LAL,.143,.143,14.3,6.0,23.6,14.3,-,30.0,-,6.1,11.5,-7.8,0.3,32.5,101.1,-68.5,2.5,-1.1
2010-2011 NBA NBA Summer League Stats,Darryl Watkins,SAS,.362,.000,50.0,-,-,-,-,-,-,-,29.4,-,2.0,81.2,113.4,-32.2,-1.3,-1.3
2010-2011 NBA NBA Summer League Stats,Dinma Odiakosa,MEM,.342,.333,66.7,7.5,7.3,7.4,5.2,45.0,3.2,2.6,18.2,-16.3,0.8,47.5,91.0,-43.5,-1.1,-1.3
2010-2011 NBA NBA Summer League Stats,Jerry Smith,MIL,.296,.250,125.0,3.8,7.7,5.8,12.2,32.2,1.8,5.4,18.5,-9.0,0.6,54.0,96.7,-42.7,-1.4,-1.6
2010-2011 NBA NBA Summer League Stats,Michael Cuffee,SAS,.358,.300,135.0,2.7,2.8,2.7,-,23.0,1.0,-,18.3,-9.3,0.8,63.4,92.2,-28.8,-5.5,-1.6
2010-2011 NBA NBA Summer League Stats,Curtis Withers,SEL,.347,.000,100.0,-,15.4,6.6,13.2,41.0,5.1,-,20.9,-12.9,1.0,55.8,100.7,-44.9,-1.0,-1.6
2010-2011 NBA NBA Summer League Stats,Jared Reiner,CLE,.375,.375,37.5,4.9,25.1,14.8,-,42.9,-,-,12.5,-12.0,0.8,49.7,98.2,-48.5,-1.5,-3.1
2010-2011 NBA NBA Summer League Stats,C.J. Giles,GSW,.239,.200,120.0,4.8,36.6,18.9,-,22.3,-,3.6,14.0,-6.8,0.5,47.8,88.9,-41.2,-1.4,-4.2
2010-2011 NBA NBA Summer League Stats,Olu Famutimi,NYK,.333,.333,33.3,-,-,-,-,25.0,-,-,11.8,-6.8,0.7,53.9,121.3,-67.4,-2.3,-4.8
2010-2011 NBA NBA Summer League Stats,Landon Milbourne,ATL,.308,.308,30.8,5.6,10.5,8.1,-,18.8,-,-,30.2,-12.5,0.6,59.3,107.2,-47.9,-4.8,-5.6
2010-2011 NBA NBA Summer League Stats,Jared Reiner,CLE,.333,.333,33.3,3.5,19.1,11.3,2.3,47.1,-,-,11.0,-10.5,0.7,43.4,101.0,-57.6,-6.0,-5.7
2010-2011 NBA NBA Summer League Stats,DaShaun Wood,LAC,.000,.000,0.0,-,-,-,22.2,100.0,-,-,4.5,-3.5,0.0,34.7,116.2,-81.4,-1.0,-6.0
2010-2011 NBA NBA Summer League Stats,Antoine Agudio,MIL,.174,.000,50.0,-,-,-,-,51.0,2.2,-,10.6,-12.4,0.5,18.6,113.0,-94.4,-3.3,-6.9
2010-2011 NBA NBA Summer League Stats,Patrick Christopher,DET,.000,.000,0.0,-,9.7,4.1,8.9,-,-,-,6.9,3.4,0.0,23.7,113.0,-89.2,-2.5,-6.9
2010-2011 NBA NBA Summer League Stats,Manny Harris,CLE,.000,.000,0.0,-,-,-,21.1,-,-,-,17.5,12.0,0.0,27.2,105.1,-77.9,-0.5,-7.4
2010-2011 NBA NBA Summer League Stats,Josh Mayo,DAL,.107,.000,66.7,-,3.4,1.8,9.3,24.4,-,-,16.5,-5.1,0.3,28.8,101.6,-72.9,-6.9,-11.1
2010-2011 NBA NBA Summer League Stats,Jared Reiner,CLE,.000,.000,0.0,-,5.8,3.0,7.7,66.7,-,-,7.0,-6.9,0.0,16.0,107.1,-91.1,-4.5,-11.8
2010-2011 NBA NBA Summer League Stats,Jared Newson,SEL,.242,.125,52.5,3.4,7.1,5.2,-,36.1,1.5,-,24.2,-19.7,0.8,36.4,109.0,-72.7,-9.3,-12.1
2010-2011 NBA NBA Summer League Stats,Jordan Eglseder,DET,.000,.000,0.0,-,29.2,13.9,-,50.0,-,-,11.7,-13.4,0.0,-,112.7,-,-4.0,-12.2
2010-2011 NBA NBA Summer League Stats,Nathan Jawai,CLE,.000,.000,0.0,-,-,-,-,100.0,-,-,14.6,-29.9,0.0,-,105.1,-,-1.0,-17.8
2010-2011 NBA NBA Summer League Stats,Josh Lomers,SAS,.000,.000,0.0,6.7,6.2,6.4,-,62.5,-,-,17.3,-23.6,0.0,7.3,88.1,-80.8,-11.0,-27.2
2012-2013 NBA NBA Summer League Stats,Hank Thorns,MEM,.518,.400,115.0,-,39.2,19.3,-,-,-,-,94.4,-,1.4,119.6,96.7,22.9,2.5,79.3
2012-2013 NBA NBA Summer League Stats,Ryan Allen,MEM,.000,.000,0.0,68.4,-,38.1,77.3,-,-,-,-,43.0,0.0,-,119.3,-,4.0,51.5
2012-2013 NBA NBA Summer League Stats,Josh Akognon,SAC,.723,.617,183.1,3.7,11.7,7.9,9.1,7.0,3.4,-,30.9,-2.7,1.9,143.5,107.6,35.9,35.1,44.1
2012-2013 NBA NBA Summer League Stats,Josh Selby,MEM,.776,.750,208.9,0.8,9.2,4.8,21.6,11.4,4.3,-,26.9,0.5,1.7,144.1,104.1,40.0,84.0,40.9
2012-2013 NBA NBA Summer League Stats,Michael Kidd-Gilchrist,CHA,.615,.625,208.3,12.1,24.6,17.7,27.3,17.0,8.0,-,27.1,1.3,1.5,123.0,79.1,44.0,17.5,40.3
2012-2013 NBA NBA Summer League Stats,Sean Williams,BOS,1.064,1.000,200.0,17.5,-,8.8,-,-,-,-,13.5,-,4.0,225.6,92.5,133.1,3.5,39.0
2012-2013 NBA NBA Summer League Stats,Nolan Smith,POR,.683,.625,198.3,6.1,7.5,6.8,21.3,6.9,1.9,-,23.6,2.5,1.5,141.7,111.0,30.7,25.9,35.0
2012-2013 NBA NBA Summer League Stats,Cedric Jackson,SAS,.538,.571,57.1,4.1,8.8,6.4,26.1,11.8,13.2,2.9,13.8,6.0,1.1,114.7,77.0,37.7,15.9,31.9
2012-2013 NBA NBA Summer League Stats,Klay Thompson,GSW,.713,.704,198.3,3.9,18.8,11.5,27.1,23.8,2.5,4.3,27.0,-4.7,1.5,119.5,74.5,45.0,32.3,31.5
2012-2013 NBA NBA Summer League Stats,Luke Harangody,CLE,.790,.750,204.2,10.2,21.2,15.6,7.1,12.2,0.9,-,19.1,-3.0,1.9,148.4,97.1,51.3,26.5,31.5
2012-2013 NBA NBA Summer League Stats,Rakim Sanders,GSW,.584,.455,125.5,8.8,20.6,14.9,15.9,11.5,2.0,-,29.1,-2.5,1.6,118.5,79.4,39.1,11.8,31.4
2012-2013 NBA NBA Summer League Stats,Talor Battle,LAC,.740,.739,189.9,3.7,7.4,5.5,40.4,24.8,1.8,-,24.5,-,1.6,123.0,100.5,22.6,27.1,30.0
2012-2013 NBA NBA Summer League Stats,Damian Lillard,POR,.574,.506,171.0,3.5,10.0,6.9,31.2,14.0,0.8,-,34.7,-0.7,1.3,115.2,110.2,5.1,53.0,29.8
2012-2013 NBA NBA Summer League Stats,Kawhi Leonard,SAS,.564,.500,145.9,3.7,16.8,10.6,16.0,11.9,1.5,1.1,32.9,-2.9,1.4,114.5,102.0,12.5,26.4,29.6
2012-2013 NBA NBA Summer League Stats,Terrence Jones,HOU,.562,.514,159.3,13.2,23.1,17.8,9.1,5.8,0.4,1.2,26.0,-0.2,1.3,124.0,96.9,27.0,66.1,29.4
2012-2013 NBA NBA Summer League Stats,Terrel Harris,MIA,.592,.511,170.6,3.2,11.5,7.4,18.2,3.7,6.5,0.7,22.0,3.5,1.4,127.5,72.5,55.0,45.6,28.4
2012-2013 NBA NBA Summer League Stats,Markieff Morris,PHX,.522,.445,160.5,9.9,24.2,17.2,11.9,11.2,1.4,4.7,30.3,-3.4,1.2,108.9,100.6,8.3,66.4,27.7
2012-2013 NBA NBA Summer League Stats,Adam Morrison,LAC,.665,.645,195.5,2.1,15.5,8.7,6.9,7.4,-,0.5,23.6,-1.7,1.4,129.1,101.3,27.8,58.0,27.4
2012-2013 NBA NBA Summer League Stats,Tristan Thompson,CLE,.609,.607,115.3,10.2,14.8,12.5,7.2,13.2,1.6,2.7,24.9,-5.7,1.4,114.8,90.0,24.8,24.6,27.1
2012-2013 NBA NBA Summer League Stats,Keith Benson,ATL,.552,.510,121.0,12.1,18.2,15.1,3.4,6.3,1.7,7.5,23.1,-2.2,1.3,116.9,95.1,21.8,51.3,27.0
2012-2013 NBA NBA Summer League Stats,Samardo Samuels,CLE,.617,.500,138.5,15.3,21.0,18.2,3.7,13.9,1.5,1.7,23.4,-6.3,1.6,123.7,92.4,31.2,42.8,26.8
