League,Player,Team,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,REB,AST,STL,BLK,TOV,PF
2005-2006 NBA NBA Summer League Stats,Marc Salyers,NOP,2,21.0,3,1,2,.500,0,0,.000,1,1,1.000,1,3,4,0,0,1,1,10
2005-2006 NBA NBA Summer League Stats,Mark Bortz,LAC,3,27.0,3,1,3,.333,0,0,.000,1,1,1.000,1,5,6,0,0,0,3,9
2005-2006 NBA NBA Summer League Stats,Otis George,NYK,4,30.0,3,1,11,.091,0,0,.000,1,2,.500,6,4,10,0,1,0,6,12
2005-2006 NBA NBA Summer League Stats,Dalron Johnson,POR,4,25.0,2,1,6,.167,0,0,.000,0,0,.000,4,6,10,1,2,0,1,6
2005-2006 NBA NBA Summer League Stats,Jamison Brewer,DAL,2,23.0,2,1,2,.500,0,0,.000,0,0,.000,0,7,7,0,0,0,1,1
2005-2006 NBA NBA Summer League Stats,Odartey Blankson,CLE,1,7.0,2,1,3,.333,0,0,.000,0,0,.000,1,1,2,1,0,0,0,1
2005-2006 NBA NBA Summer League Stats,Maurice Baker,NJN,3,24.0,2,1,1,1.000,0,0,.000,0,0,.000,0,5,5,0,2,0,4,5
2005-2006 NBA NBA Summer League Stats,Derrick Tarver,CLE,4,18.0,2,1,4,.250,0,1,.000,0,2,.000,0,1,1,0,0,1,0,4
2005-2006 NBA NBA Summer League Stats,Nick Jacobson,PHX,5,41.0,2,1,9,.111,0,4,.000,0,0,.000,1,2,3,4,0,0,1,7
2005-2006 NBA NBA Summer League Stats,Robert Tomaszek,POR,5,46.0,2,1,3,.333,0,0,.000,0,0,.000,1,3,4,1,3,0,5,17
2005-2006 NBA NBA Summer League Stats,Larry O'Bannon,GSW,2,16.0,1,0,4,.000,0,2,.000,1,2,.500,0,1,1,1,0,0,3,4
2005-2006 NBA NBA Summer League Stats,Guy Muya,GSW,4,31.0,0,0,1,.000,0,0,.000,0,0,.000,2,4,6,5,1,0,2,5
2005-2006 NBA NBA Summer League Stats,Garrett Tien,SAC,2,4.0,0,0,0,.000,0,0,.000,0,0,.000,0,1,1,0,0,0,0,0
2005-2006 NBA NBA Summer League Stats,Ronald Ross,GSW,1,5.0,0,0,0,.000,0,0,.000,0,0,.000,0,1,1,0,0,0,0,1
2005-2006 NBA NBA Summer League Stats,Andreas Glyniadakis,DET,1,1.0,0,0,0,.000,0,0,.000,0,0,.000,0,0,0,0,0,0,0,0
2005-2006 NBA NBA Summer League Stats,Tony Bland,SAC,1,1.0,0,0,0,.000,0,0,.000,0,0,.000,0,0,0,0,0,0,0,0
2005-2006 NBA NBA Summer League Stats,Seamus Boxley,POR,1,1.0,0,0,0,.000,0,0,.000,0,0,.000,0,0,0,0,0,0,1,0
2005-2006 NBA NBA Summer League Stats,Kenyon Jones,DEN,2,6.0,0,0,0,.000,0,0,.000,0,0,.000,0,0,0,0,0,0,1,1
2005-2006 NBA NBA Summer League Stats,Brandon Gay,GSW,2,11.0,0,0,3,.000,0,0,.000,0,2,.000,0,0,0,0,0,0,0,0
2006-2007 NBA NBA Summer League Stats,Randy Foye,MIN,5,164.0,124,44,83,.530,3,8,.375,33,38,.868,3,18,21,11,11,2,19,16
2006-2007 NBA NBA Summer League Stats,John Lucas,HOU,5,191.0,117,47,92,.511,6,14,.429,17,21,.810,7,12,19,38,7,0,14,17
2006-2007 NBA NBA Summer League Stats,Brandon Roy,POR,5,132.0,95,33,51,.647,4,6,.667,25,36,.694,9,8,17,18,3,2,16,16
2006-2007 NBA NBA Summer League Stats,Gerald Green,BOS,5,155.0,93,33,72,.458,10,18,.556,17,21,.810,3,14,17,1,7,1,12,23
2006-2007 NBA NBA Summer League Stats,Alex Acker,DET,5,173.0,92,32,88,.364,2,6,.333,28,41,.683,12,13,25,13,6,0,15,19
