League,Player,Team,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,REB,AST,STL,BLK,TOV,PF
2018-2019 NBA NBA Summer League Stats,Alpha Kaba,ATL,5,80.0,38,14,24,.583,0,0,.000,10,13,.769,18,21,39,5,6,7,2,13
2018-2019 NBA NBA Summer League Stats,Naz Long,UTA,4,80.6,38,14,26,.538,2,7,.286,8,12,.667,1,10,11,14,4,0,10,6
2018-2019 NBA NBA Summer League Stats,Khyri Thomas,DET,4,114.8,38,14,35,.400,5,11,.455,5,7,.714,2,6,8,5,6,0,4,6
2018-2019 NBA NBA Summer League Stats,Charles Cooke,MIN,5,79.9,38,13,29,.448,2,6,.333,10,12,.833,4,6,10,0,4,1,5,2
2018-2019 NBA NBA Summer League Stats,Trey McKinney Jones,SAS,5,116.3,38,13,38,.342,1,9,.111,11,13,.846,5,9,14,8,7,0,10,11
2018-2019 NBA NBA Summer League Stats,Emanuel Terry,DEN,5,88.0,37,17,28,.607,0,0,.000,3,4,.750,8,17,25,0,4,0,5,6
2018-2019 NBA NBA Summer League Stats,Stanton Kidd,UTA,4,88.1,37,15,27,.556,6,12,.500,1,1,1.000,1,11,12,3,4,2,5,4
2018-2019 NBA NBA Summer League Stats,Norvel Pelle,PHI,5,68.9,37,16,31,.516,0,1,.000,5,7,.714,12,9,21,1,2,6,8,22
2018-2019 NBA NBA Summer League Stats,Wayne Selden,MEM,2,57.0,37,14,31,.452,3,13,.231,6,7,.857,2,5,7,5,1,1,3,4
2018-2019 NBA NBA Summer League Stats,Ryan Arcidiacono,CHI,5,154.8,36,13,33,.394,10,21,.476,0,0,.000,2,19,21,20,6,1,11,20
2018-2019 NBA NBA Summer League Stats,James Webb III,BRK,5,93.6,36,14,34,.412,8,21,.381,0,1,.000,2,29,31,1,3,1,5,9
2018-2019 NBA NBA Summer League Stats,Cameron Oliver,PHI,5,85.6,36,14,39,.359,1,8,.125,7,10,.700,8,19,27,2,6,3,5,13
2018-2019 NBA NBA Summer League Stats,Vlatko Cancar,DEN,4,83.9,36,14,29,.483,6,16,.375,2,6,.333,2,10,12,3,7,2,2,14
2018-2019 NBA NBA Summer League Stats,Tiwian Kendley,WAS,4,70.5,36,13,30,.433,2,10,.200,8,11,.727,4,6,10,8,8,3,9,7
2018-2019 NBA NBA Summer League Stats,Trey Lewis,UTA,4,74.2,36,13,28,.464,9,16,.563,1,5,.200,5,7,12,9,0,0,7,8
2018-2019 NBA NBA Summer League Stats,Wesley Iwundu,ORL,4,113.0,36,11,34,.324,0,8,.000,14,18,.778,5,19,24,3,6,2,9,11
2018-2019 NBA NBA Summer League Stats,Kevin Hervey,OKC,5,66.0,36,14,35,.400,5,19,.263,3,8,.375,4,9,13,5,3,0,4,9
2018-2019 NBA NBA Summer League Stats,Anthony Brown,SAC,5,112.5,35,15,33,.455,1,6,.167,4,5,.800,5,22,27,9,5,0,1,6
2018-2019 NBA NBA Summer League Stats,Vince Hunter,LAC,4,60.8,35,13,19,.684,1,1,1.000,8,10,.800,8,13,21,3,1,2,2,10
2018-2019 NBA NBA Summer League Stats,J.P. Tokoto,GSW,5,115.4,35,13,29,.448,1,5,.200,8,10,.800,5,18,23,7,13,1,8,15
2018-2019 NBA NBA Summer League Stats,Jordan McLaughlin,BRK,5,98.5,35,13,38,.342,4,18,.222,5,9,.556,0,9,9,21,4,1,15,2
2018-2019 NBA NBA Summer League Stats,Joshua Magette,GSW,5,131.2,35,13,43,.302,3,20,.150,6,8,.750,2,12,14,21,5,0,9,19
2018-2019 NBA NBA Summer League Stats,Terrance Ferguson,OKC,5,143.5,35,12,40,.300,4,20,.200,7,10,.700,4,10,14,6,5,4,8,9
2018-2019 NBA NBA Summer League Stats,Jack Cooley,PHX,5,60.5,34,13,19,.684,0,0,.000,8,10,.800,8,14,22,4,4,5,6,10
2018-2019 NBA NBA Summer League Stats,Mitchell Creek,DAL,5,89.6,34,13,30,.433,0,6,.000,8,10,.800,17,9,26,3,4,2,3,9
2018-2019 NBA NBA Summer League Stats,Wenyen Gabriel,SAC,5,82.2,34,12,31,.387,3,11,.273,7,8,.875,9,19,28,3,4,3,6,12
2018-2019 NBA NBA Summer League Stats,Jalen Brunson,DAL,5,101.2,34,10,44,.227,6,20,.300,8,11,.727,1,13,14,22,6,0,15,7
2018-2019 NBA NBA Summer League Stats,Codi Miller-McIntyre,TOR,6,132.4,33,14,41,.341,2,11,.182,3,4,.750,2,22,24,36,11,2,15,11
2018-2019 NBA NBA Summer League Stats,Ben Moore,IND,5,96.2,33,11,16,.688,1,3,.333,10,15,.667,2,12,14,6,10,2,1,13
2018-2019 NBA NBA Summer League Stats,Jordan Loyd,TOR,4,69.2,33,11,24,.458,4,13,.308,7,7,1.000,1,10,11,11,3,1,4,6
2018-2019 NBA NBA Summer League Stats,Deng Adel,HOU,4,84.7,33,11,19,.579,5,7,.714,6,6,1.000,1,6,7,5,5,2,3,5
2018-2019 NBA NBA Summer League Stats,Grayson Allen,UTA,2,51.1,33,13,34,.382,3,14,.214,4,4,1.000,1,12,13,8,3,0,1,3
2018-2019 NBA NBA Summer League Stats,Bam Adebayo,MIA,2,43.7,33,9,23,.391,0,0,.000,15,18,.833,6,7,13,3,3,3,2,6
2018-2019 NBA NBA Summer League Stats,Larry Drew,DET,4,92.1,33,13,27,.481,5,14,.357,2,2,1.000,1,8,9,11,3,1,9,11
2018-2019 NBA NBA Summer League Stats,Dragan Bender,PHX,5,110.8,33,13,35,.371,7,21,.333,0,0,.000,1,25,26,2,2,2,11,8
2018-2019 NBA NBA Summer League Stats,Markel Brown,HOU,5,91.4,33,7,30,.233,4,20,.200,15,20,.750,2,10,12,6,2,0,6,11
2018-2019 NBA NBA Summer League Stats,Landry Nnoko,MIA,4,81.8,32,13,16,.813,0,0,.000,6,10,.600,5,25,30,3,3,2,3,9
2018-2019 NBA NBA Summer League Stats,Tony Bradley,UTA,2,41.9,32,13,15,.867,0,0,.000,6,6,1.000,4,3,7,1,0,0,4,11
2018-2019 NBA NBA Summer League Stats,Josh Gray,MIN,5,67.6,32,11,30,.367,2,9,.222,8,10,.800,0,8,8,5,7,1,6,8
2018-2019 NBA NBA Summer League Stats,Moe Wagner,LAL,3,63.2,31,11,30,.367,2,9,.222,7,11,.636,4,20,24,3,8,4,2,12
2018-2019 NBA NBA Summer League Stats,Mikal Bridges,PHX,5,99.9,31,10,22,.455,7,16,.438,4,4,1.000,2,11,13,3,8,4,8,11
2018-2019 NBA NBA Summer League Stats,Vince Edwards,HOU,4,105.1,31,12,34,.353,4,19,.211,3,3,1.000,5,17,22,4,4,1,4,6
2018-2019 NBA NBA Summer League Stats,Johnathan Motley,DAL,2,49.1,31,13,22,.591,0,0,.000,5,8,.625,5,6,11,3,0,1,0,5
2018-2019 NBA NBA Summer League Stats,Johnathan Williams,LAL,7,172.2,31,13,38,.342,2,8,.250,3,4,.750,8,24,32,3,5,5,6,26
2018-2019 NBA NBA Summer League Stats,Phillip Greene IV,DAL,4,75.0,31,12,39,.308,5,20,.250,2,2,1.000,4,8,12,2,4,0,3,4
2018-2019 NBA NBA Summer League Stats,Jeff Ledbetter,SAS,5,80.5,31,11,33,.333,7,25,.280,2,2,1.000,1,8,9,12,3,0,9,13
2018-2019 NBA NBA Summer League Stats,Olivier Hanlan,SAS,5,106.4,31,12,42,.286,6,17,.353,1,2,.500,1,11,12,13,5,0,10,9
2018-2019 NBA NBA Summer League Stats,Junior Robinson,ATL,4,62.7,31,11,29,.379,4,13,.308,5,5,1.000,1,2,3,5,0,1,6,6
2018-2019 NBA NBA Summer League Stats,Josh Jackson,PHX,3,72.1,31,10,41,.244,1,11,.091,10,14,.714,3,4,7,4,4,2,9,10
2018-2019 NBA NBA Summer League Stats,J.P. Macura,CHA,5,116.7,30,12,20,.600,3,7,.429,3,3,1.000,5,9,14,8,7,2,7,13
2018-2019 NBA NBA Summer League Stats,Daniel Ochefu,NYK,4,57.1,30,12,19,.632,0,1,.000,6,6,1.000,6,10,16,5,2,3,6,6
2018-2019 NBA NBA Summer League Stats,Shavon Shields,NOP,3,80.0,30,10,16,.625,3,5,.600,7,9,.778,2,13,15,10,4,1,8,11
2018-2019 NBA NBA Summer League Stats,Jordan Barnett,MIL,5,92.5,30,12,28,.429,5,15,.333,1,2,.500,4,14,18,8,2,2,3,9
2018-2019 NBA NBA Summer League Stats,Donte Ingram,CHI,5,134.0,30,10,32,.313,7,22,.318,3,6,.500,5,19,24,7,2,1,4,12
2018-2019 NBA NBA Summer League Stats,Tony Carr,NOP,5,119.9,30,11,31,.355,1,9,.111,7,9,.778,0,9,9,17,3,3,9,7
2018-2019 NBA NBA Summer League Stats,Devonte' Graham,CHA,3,77.6,30,11,30,.367,0,12,.000,8,8,1.000,0,8,8,18,3,0,7,8
2018-2019 NBA NBA Summer League Stats,Jawun Evans,LAC,5,91.2,30,9,32,.281,1,5,.200,11,14,.786,0,15,15,10,7,2,9,15
2018-2019 NBA NBA Summer League Stats,Justin Bibbs,BOS,6,106.5,30,12,27,.444,4,14,.286,2,2,1.000,2,8,10,6,1,1,7,10
2018-2019 NBA NBA Summer League Stats,D.J. Hogg,NOP,4,53.7,30,9,26,.346,5,14,.357,7,8,.875,1,1,2,4,3,2,2,8
2018-2019 NBA NBA Summer League Stats,Alec Peters,PHX,5,83.9,30,10,25,.400,8,21,.381,2,4,.500,0,7,7,7,2,0,7,10
2018-2019 NBA NBA Summer League Stats,Frank Mason,SAC,3,85.6,29,10,27,.370,1,5,.200,8,11,.727,1,4,5,24,2,1,8,8
2018-2019 NBA NBA Summer League Stats,Manu Lecomte,DAL,4,48.2,29,10,15,.667,5,9,.556,4,5,.800,3,2,5,5,3,0,8,3
2018-2019 NBA NBA Summer League Stats,Chris McCullough,PHI,5,73.9,29,11,32,.344,1,5,.200,6,9,.667,10,14,24,3,3,5,6,20
2018-2019 NBA NBA Summer League Stats,Aaron Harrison,WAS,5,77.3,29,6,32,.188,4,22,.182,13,20,.650,3,12,15,3,3,2,2,17
2018-2019 NBA NBA Summer League Stats,Angel Delgado,LAC,5,81.8,28,14,25,.560,0,0,.000,0,10,.000,18,13,31,7,7,1,6,8
2018-2019 NBA NBA Summer League Stats,Ivan Rabb,MEM,3,66.5,28,13,22,.591,0,0,.000,2,6,.333,9,10,19,5,2,2,7,6
2018-2019 NBA NBA Summer League Stats,Trae Bell-Haynes,MIL,5,70.8,28,8,13,.615,1,3,.333,11,13,.846,3,7,10,9,0,1,7,7
2018-2019 NBA NBA Summer League Stats,Kennedy Meeks,DEN,5,71.2,28,12,33,.364,0,1,.000,4,5,.800,8,20,28,5,1,2,10,10
2018-2019 NBA NBA Summer League Stats,Matt Jones,SAC,4,79.1,28,10,28,.357,3,13,.231,5,10,.500,2,5,7,2,3,0,4,5
2018-2019 NBA NBA Summer League Stats,D.J. Stephens,MEM,7,117.6,27,11,23,.478,2,8,.250,3,6,.500,5,13,18,5,4,9,6,6
2018-2019 NBA NBA Summer League Stats,Kenrich Williams,DEN,5,117.5,27,13,31,.419,1,7,.143,0,2,.000,8,20,28,2,3,3,7,9
2018-2019 NBA NBA Summer League Stats,Devon Hall,OKC,5,75.7,27,8,19,.421,5,10,.500,6,8,.750,0,4,4,6,0,1,1,4
2018-2019 NBA NBA Summer League Stats,Kelan Martin,UTA,4,84.2,27,11,33,.333,2,14,.143,3,4,.750,1,16,17,7,2,1,2,10
2018-2019 NBA NBA Summer League Stats,Vladimir Brodziansky,CLE,6,71.4,27,12,26,.462,1,7,.143,2,4,.500,6,11,17,1,1,3,2,14
2018-2019 NBA NBA Summer League Stats,Dakota Mathias,CLE,6,91.6,27,8,23,.348,6,20,.300,5,6,.833,4,6,10,5,3,0,2,14
2018-2019 NBA NBA Summer League Stats,Tim Quarterman,MIL,5,93.5,27,11,29,.379,2,13,.154,3,3,1.000,0,6,6,15,3,2,11,8
2018-2019 NBA NBA Summer League Stats,Braian Angola-Rodas,ORL,5,87.3,27,10,30,.333,3,16,.188,4,6,.667,2,7,9,9,3,1,7,14
2018-2019 NBA NBA Summer League Stats,Mohamed Bamba,ORL,3,59.2,26,12,20,.600,2,4,.500,0,0,.000,6,11,17,2,2,7,3,8
2018-2019 NBA NBA Summer League Stats,London Perrantes,SAS,5,96.1,26,10,21,.476,3,6,.500,3,3,1.000,0,6,6,16,2,2,4,7
2018-2019 NBA NBA Summer League Stats,Javonte Green,PHX,3,33.9,26,9,12,.750,2,4,.500,6,8,.750,5,3,8,3,2,1,2,3
2018-2019 NBA NBA Summer League Stats,Jake Wiley,DAL,5,83.6,26,8,27,.296,2,7,.286,8,12,.667,7,9,16,2,3,5,5,1
2018-2019 NBA NBA Summer League Stats,Isaiah Briscoe,ORL,3,56.7,26,10,20,.500,1,4,.250,5,12,.417,1,8,9,6,3,0,7,9
2018-2019 NBA NBA Summer League Stats,Joe Chealey,CHA,4,69.4,25,8,19,.421,2,6,.333,7,7,1.000,3,14,17,11,3,0,6,6
2018-2019 NBA NBA Summer League Stats,Kamari Murphy,BRK,5,87.1,25,10,28,.357,0,4,.000,5,8,.625,6,17,23,3,2,3,8,5
2018-2019 NBA NBA Summer League Stats,Jarnell Stokes,CHI,5,50.6,25,12,19,.632,1,1,1.000,0,0,.000,4,10,14,1,0,1,4,8
2018-2019 NBA NBA Summer League Stats,Jeffrey Carroll,LAL,6,53.6,25,10,21,.476,1,11,.091,4,5,.800,5,7,12,0,0,2,2,5
2018-2019 NBA NBA Summer League Stats,Chimezie Metu,SAS,2,47.5,25,12,22,.545,0,1,.000,1,2,.500,5,8,13,4,1,1,7,9
2018-2019 NBA NBA Summer League Stats,Cory Jefferson,SAS,5,51.1,25,7,15,.467,3,7,.429,8,10,.800,3,6,9,0,0,1,2,7
2018-2019 NBA NBA Summer League Stats,Matt Williams,CHI,5,72.1,25,9,29,.310,7,21,.333,0,2,.000,2,6,8,4,3,3,3,9
2018-2019 NBA NBA Summer League Stats,Rodney Purvis,ORL,5,79.9,25,7,32,.219,4,16,.250,7,9,.778,1,11,12,5,3,0,6,8
2018-2019 NBA NBA Summer League Stats,Chris Chiozza,WAS,5,139.5,24,10,33,.303,4,17,.235,0,0,.000,1,7,8,37,10,4,18,14
2018-2019 NBA NBA Summer League Stats,Trevor Thompson,BRK,4,43.8,24,7,15,.467,0,3,.000,10,14,.714,3,15,18,2,1,3,0,8
2018-2019 NBA NBA Summer League Stats,Dennis Smith,DAL,2,46.5,24,9,24,.375,2,13,.154,4,4,1.000,3,1,4,12,6,0,5,7
2018-2019 NBA NBA Summer League Stats,Kendrick Ray,UTA,4,80.5,24,11,31,.355,1,10,.100,1,2,.500,4,8,12,10,3,0,9,10
2018-2019 NBA NBA Summer League Stats,Kyle Collinsworth,DAL,5,88.9,23,8,23,.348,1,4,.250,6,13,.462,12,20,32,11,6,1,11,8
2018-2019 NBA NBA Summer League Stats,Tyler Lydon,DEN,3,76.2,23,7,18,.389,6,13,.462,3,4,.750,4,15,19,8,5,1,2,13
2018-2019 NBA NBA Summer League Stats,Jock Landale,ATL,6,100.3,23,9,27,.333,1,9,.111,4,6,.667,8,21,29,6,3,1,9,11
2018-2019 NBA NBA Summer League Stats,Chinanu Onuaku,HOU,4,47.4,23,9,18,.500,0,0,.000,5,6,.833,3,14,17,4,3,5,8,14
2018-2019 NBA NBA Summer League Stats,Malik Monk,CHA,1,27.6,23,9,16,.563,4,9,.444,1,3,.333,0,1,1,2,2,0,1,1
2018-2019 NBA NBA Summer League Stats,Jaylen Johnson,LAC,5,54.4,23,10,23,.435,0,6,.000,3,4,.750,8,7,15,1,2,0,4,10
2018-2019 NBA NBA Summer League Stats,Derrick White,SAS,2,36.5,23,8,22,.364,1,8,.125,6,9,.667,0,5,5,6,1,2,5,3
2018-2019 NBA NBA Summer League Stats,Cam Reynolds,SAC,5,78.1,23,10,26,.385,3,12,.250,0,0,.000,3,8,11,1,2,4,8,9
2018-2019 NBA NBA Summer League Stats,Zach Smith,ATL,4,80.2,22,9,17,.529,1,4,.250,3,6,.500,2,15,17,2,0,6,5,3
2018-2019 NBA NBA Summer League Stats,Frank Ntilikina,NYK,2,56.9,22,9,21,.429,1,5,.200,3,5,.600,1,3,4,11,3,1,4,4
2018-2019 NBA NBA Summer League Stats,B.J. Johnson,CHA,4,44.0,22,9,28,.321,1,9,.111,3,3,1.000,3,8,11,2,1,1,3,2
2018-2019 NBA NBA Summer League Stats,"Melvin Frazier, Jr.",ORL,4,98.7,22,8,28,.286,0,8,.000,6,8,.750,1,10,11,3,6,2,9,10
2018-2019 NBA NBA Summer League Stats,Amida Brimah,SAS,5,69.7,21,9,11,.818,0,0,.000,3,5,.600,8,13,21,2,0,10,4,17
2018-2019 NBA NBA Summer League Stats,Jarrett Allen,BRK,2,49.3,21,9,16,.563,1,1,1.000,2,2,1.000,7,16,23,0,0,6,7,6
2018-2019 NBA NBA Summer League Stats,William Lee,MEM,7,80.7,21,8,17,.471,1,6,.167,4,6,.667,6,17,23,0,2,3,4,7
2018-2019 NBA NBA Summer League Stats,Levi Randolph,IND,4,47.2,21,10,22,.455,0,4,.000,1,2,.500,7,5,12,3,3,1,0,4
2018-2019 NBA NBA Summer League Stats,Marquis Teague,TOR,4,68.9,21,7,28,.250,2,7,.286,5,6,.833,2,8,10,11,1,1,5,7
2018-2019 NBA NBA Summer League Stats,Jarell Eddie,BOS,6,96.3,21,8,27,.296,5,17,.294,0,0,.000,1,11,12,4,3,1,5,11
2018-2019 NBA NBA Summer League Stats,Raphiael Putney,SAS,4,51.7,20,8,19,.421,2,9,.222,2,3,.667,2,9,11,4,5,3,5,4
2018-2019 NBA NBA Summer League Stats,Kostas Antetokounmpo,DAL,4,47.5,20,7,12,.583,0,0,.000,6,14,.429,4,6,10,2,5,5,4,8
2018-2019 NBA NBA Summer League Stats,Jairus Lyles,UTA,3,59.9,20,9,24,.375,2,7,.286,0,2,.000,1,11,12,9,3,1,3,7
2018-2019 NBA NBA Summer League Stats,Brandon Sampson,ATL,3,48.3,20,6,18,.333,4,9,.444,4,5,.800,1,10,11,1,2,0,4,2
2018-2019 NBA NBA Summer League Stats,Melo Trimble,CHI,4,46.4,20,6,16,.375,1,6,.167,7,7,1.000,0,6,6,6,1,1,5,4
2018-2019 NBA NBA Summer League Stats,Devin Williams,SAC,4,41.3,20,5,17,.294,0,2,.000,10,12,.833,6,9,15,0,1,0,2,9
2018-2019 NBA NBA Summer League Stats,Gabe DeVoe,CHA,4,50.4,20,7,20,.350,5,13,.385,1,1,1.000,0,4,4,1,1,0,2,2
2018-2019 NBA NBA Summer League Stats,Kaiser Gates,CHI,3,41.8,20,7,20,.350,6,15,.400,0,0,.000,2,3,5,2,1,0,4,4
2018-2019 NBA NBA Summer League Stats,Devyn Marble,PHI,4,55.3,20,6,22,.273,4,13,.308,4,5,.800,0,4,4,3,2,0,3,3
2018-2019 NBA NBA Summer League Stats,Tyrius Walker,NYK,3,33.7,19,6,14,.429,3,6,.500,4,6,.667,0,5,5,6,5,2,2,3
2018-2019 NBA NBA Summer League Stats,Obi Enechionyia,DET,6,65.0,19,7,20,.350,3,12,.250,2,3,.667,4,8,12,2,5,2,1,5
2018-2019 NBA NBA Summer League Stats,Brady Heslip,MEM,7,100.2,19,6,21,.286,5,19,.263,2,2,1.000,0,8,8,2,2,0,1,4
2018-2019 NBA NBA Summer League Stats,Gian Clavell,GSW,5,64.6,19,6,31,.194,2,16,.125,5,8,.625,2,14,16,4,2,4,3,11
2018-2019 NBA NBA Summer League Stats,Dorian Finney-Smith,DAL,2,50.1,18,7,17,.412,3,10,.300,1,1,1.000,4,5,9,5,2,2,6,2
2018-2019 NBA NBA Summer League Stats,George King,PHX,5,46.6,18,8,15,.533,2,5,.400,0,0,.000,1,11,12,2,1,0,5,7
2018-2019 NBA NBA Summer League Stats,Jordan Mathews,LAC,3,36.6,18,7,17,.412,1,7,.143,3,3,1.000,1,5,6,1,2,0,2,1
2018-2019 NBA NBA Summer League Stats,Grant Jerrett,LAC,5,81.8,17,6,22,.273,2,10,.200,3,6,.500,8,14,22,5,2,1,3,7
2018-2019 NBA NBA Summer League Stats,Elijah Brown,GSW,5,53.1,17,7,28,.250,2,12,.167,1,2,.500,4,5,9,5,4,0,4,7
2018-2019 NBA NBA Summer League Stats,David Michineau,LAC,4,54.2,17,8,27,.296,1,6,.167,0,0,.000,0,7,7,4,1,0,9,4
2018-2019 NBA NBA Summer League Stats,Malcolm Hill,UTA,4,60.5,16,6,13,.462,2,5,.400,2,2,1.000,1,16,17,3,2,1,3,4
2018-2019 NBA NBA Summer League Stats,Khem Birch,ORL,3,50.5,16,7,17,.412,0,1,.000,2,6,.333,7,10,17,2,4,3,1,9
2018-2019 NBA NBA Summer League Stats,T.J. Cline,MIL,5,70.2,16,7,17,.412,2,9,.222,0,0,.000,2,18,20,4,1,2,6,9
2018-2019 NBA NBA Summer League Stats,Tyler Rawson,ORL,4,56.2,16,6,13,.462,4,11,.364,0,0,.000,1,4,5,2,2,0,1,4
2018-2019 NBA NBA Summer League Stats,Drew Eubanks,SAS,4,51.7,16,7,13,.538,0,1,.000,2,2,1.000,1,7,8,3,0,5,5,7
2018-2019 NBA NBA Summer League Stats,Jay Wright,ORL,4,59.3,16,6,18,.333,1,3,.333,3,4,.750,1,9,10,11,3,2,9,9
2018-2019 NBA NBA Summer League Stats,Isaiah Hicks,NYK,3,45.1,16,7,11,.636,0,1,.000,2,4,.500,0,6,6,5,0,4,3,11
2018-2019 NBA NBA Summer League Stats,Mike Cobbins,OKC,3,35.0,16,5,5,1.000,0,0,.000,6,8,.750,1,2,3,0,2,1,1,5
2018-2019 NBA NBA Summer League Stats,Jacobi Boykins,ORL,2,14.7,16,6,9,.667,4,5,.800,0,0,.000,0,4,4,1,0,0,0,4
2018-2019 NBA NBA Summer League Stats,Rion Brown,GSW,4,62.1,16,6,24,.250,1,7,.143,3,3,1.000,2,6,8,3,2,1,1,7
2018-2019 NBA NBA Summer League Stats,Malik Newman,LAL,5,48.5,16,6,19,.316,2,6,.333,2,2,1.000,0,4,4,1,1,0,1,2
2018-2019 NBA NBA Summer League Stats,Jacob Evans,GSW,3,66.4,16,7,24,.292,1,12,.083,1,2,.500,1,8,9,2,1,2,4,4
2018-2019 NBA NBA Summer League Stats,Arnoldas Kulboka,CHA,4,34.5,15,5,11,.455,1,6,.167,4,6,.667,1,4,5,1,1,0,1,0
2018-2019 NBA NBA Summer League Stats,Brayon Blake,CLE,6,63.4,15,6,21,.286,1,9,.111,2,2,1.000,5,10,15,4,3,0,3,11
2018-2019 NBA NBA Summer League Stats,Petr Cornelie,DEN,4,43.6,15,6,14,.429,2,6,.333,1,3,.333,4,3,7,7,0,0,4,7
2018-2019 NBA NBA Summer League Stats,Marvin Bagley III,SAC,1,32.0,15,5,13,.385,0,2,.000,5,7,.714,1,6,7,2,1,1,2,5
2018-2019 NBA NBA Summer League Stats,Bryce Alford,IND,5,54.7,15,5,14,.357,4,12,.333,1,1,1.000,0,1,1,3,2,1,2,10
2018-2019 NBA NBA Summer League Stats,Thomas Wimbush,LAC,6,58.2,15,2,16,.125,0,4,.000,11,13,.846,4,6,10,2,0,0,7,6
2018-2019 NBA NBA Summer League Stats,Isaac Bonga,LAL,7,62.9,15,5,12,.417,1,4,.250,4,8,.500,1,6,7,4,3,1,17,12
2018-2019 NBA NBA Summer League Stats,Scott Machado,DEN,5,86.5,14,6,25,.240,0,6,.000,2,2,1.000,1,14,15,20,3,0,10,4
2018-2019 NBA NBA Summer League Stats,Elijah Bryant,PHI,4,35.4,14,6,12,.500,2,6,.333,0,0,.000,0,7,7,2,4,0,0,2
2018-2019 NBA NBA Summer League Stats,Xavier Cooks,GSW,3,30.3,14,5,8,.625,2,2,1.000,2,2,1.000,3,2,5,2,2,0,0,2
2018-2019 NBA NBA Summer League Stats,Nnanna Egwu,DET,6,68.4,14,6,7,.857,0,0,.000,2,4,.500,3,7,10,2,2,2,4,12
2018-2019 NBA NBA Summer League Stats,Kadeem Allen,BOS,5,70.1,14,7,18,.389,0,5,.000,0,0,.000,1,7,8,9,1,1,4,6
2018-2019 NBA NBA Summer League Stats,Devondrick Walker,PHI,4,48.3,14,5,17,.294,4,14,.286,0,0,.000,0,3,3,4,2,0,1,6
2018-2019 NBA NBA Summer League Stats,Kendall Stephens,ORL,4,43.6,14,3,15,.200,3,14,.214,5,5,1.000,1,5,6,0,1,0,4,4
2018-2019 NBA NBA Summer League Stats,Justin Tillman,MIA,2,26.1,13,3,5,.600,0,1,.000,7,10,.700,4,6,10,1,2,1,1,3
2018-2019 NBA NBA Summer League Stats,Perry Ellis,MIL,4,49.0,13,5,8,.625,2,4,.500,1,2,.500,3,7,10,1,1,1,3,1
2018-2019 NBA NBA Summer League Stats,Nuni Omot,GSW,5,57.5,13,4,15,.267,1,4,.250,4,6,.667,8,8,16,3,0,1,1,7
2018-2019 NBA NBA Summer League Stats,Demetrius Conger,BOS,4,58.5,13,4,8,.500,1,1,1.000,4,4,1.000,2,8,10,7,0,0,6,3
2018-2019 NBA NBA Summer League Stats,Roddy Peters,NOP,3,31.7,13,6,10,.600,0,1,.000,1,2,.500,1,3,4,2,2,0,2,1
2018-2019 NBA NBA Summer League Stats,Byron Mullens,ORL,2,21.6,13,5,12,.417,2,6,.333,1,2,.500,4,4,8,1,0,1,0,7
2018-2019 NBA NBA Summer League Stats,Frank Jackson,NOP,1,12.7,13,4,7,.571,0,1,.000,5,5,1.000,1,5,6,1,1,0,3,3
2018-2019 NBA NBA Summer League Stats,Isaac Haas,UTA,4,58.8,13,4,12,.333,0,0,.000,5,6,.833,3,16,19,1,2,2,6,18
2018-2019 NBA NBA Summer League Stats,Matt Farrell,MIA,4,66.1,13,6,24,.250,1,11,.091,0,0,.000,1,4,5,13,0,2,7,2
2018-2019 NBA NBA Summer League Stats,Semaj Christon,BRK,5,78.6,13,5,27,.185,1,8,.125,2,4,.500,1,7,8,10,1,1,10,9
2018-2019 NBA NBA Summer League Stats,Johnny Hamilton,DET,3,38.1,12,5,8,.625,0,0,.000,2,2,1.000,8,12,20,0,1,5,5,5
2018-2019 NBA NBA Summer League Stats,Tai Webster,MIA,4,53.8,12,4,10,.400,2,5,.400,2,2,1.000,1,4,5,5,3,1,3,7
2018-2019 NBA NBA Summer League Stats,Casper Ware,POR,4,46.1,12,2,9,.222,1,7,.143,7,7,1.000,0,6,6,2,5,1,4,3
2018-2019 NBA NBA Summer League Stats,Thomas Welsh,DEN,2,31.4,12,5,12,.417,1,5,.200,1,2,.500,3,5,8,2,0,1,2,2
2018-2019 NBA NBA Summer League Stats,Alan Herndon,WAS,3,26.9,12,4,7,.571,2,4,.500,2,4,.500,2,3,5,0,1,3,3,6
2018-2019 NBA NBA Summer League Stats,Carrick Felix,WAS,4,46.5,12,3,13,.231,0,5,.000,6,9,.667,1,4,5,2,2,0,2,8
2018-2019 NBA NBA Summer League Stats,Malcolm Miller,TOR,3,53.0,12,4,15,.267,2,12,.167,2,2,1.000,1,5,6,3,0,0,2,12
2018-2019 NBA NBA Summer League Stats,Maverick Rowan,SAS,2,19.8,11,4,11,.364,2,4,.500,1,1,1.000,1,1,2,1,0,1,0,2
2018-2019 NBA NBA Summer League Stats,Phil Pressey,OKC,5,37.4,11,5,11,.455,1,3,.333,0,1,.000,0,4,4,4,3,0,4,7
2018-2019 NBA NBA Summer League Stats,"James Blackmon, Jr.",MIL,3,55.0,11,2,14,.143,1,8,.125,6,6,1.000,0,4,4,2,2,1,2,3
2018-2019 NBA NBA Summer League Stats,"Juwan Howard, Jr.",NYK,3,33.1,11,4,13,.308,0,3,.000,3,4,.750,2,1,3,1,1,0,2,1
