League,Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF
2006-2007 NBA NBA Summer League Stats,J.J. Barea,GSW,5,21.4,6.8,2.2,6.0,.367,0.2,2.2,.091,2.2,3.0,.733,0.2,1.6,1.8,2.8,2.0,0.0,1.0,3.0
2006-2007 NBA NBA Summer League Stats,Mardy Collins,NYK,5,19.4,6.8,2.8,6.0,.467,0.4,1.4,.286,0.8,2.2,.364,0.4,1.6,2.0,1.8,0.4,0.2,1.0,2.0
2006-2007 NBA NBA Summer League Stats,Chuck Hayes,HOU,5,35.4,6.6,2.6,4.0,.650,0.0,0.0,.000,1.4,2.8,.500,2.6,7.2,9.8,1.0,0.2,0.8,1.4,5.8
2006-2007 NBA NBA Summer League Stats,Ron Slay,DEN,5,10.8,6.6,2.4,4.4,.545,0.4,1.4,.286,1.4,1.8,.778,0.2,1.4,1.6,0.8,0.6,0.2,1.2,1.8
2006-2007 NBA NBA Summer League Stats,Leon Powe,BOS,5,15.4,6.6,2.2,4.8,.458,0.0,0.0,.000,2.2,4.0,.550,1.8,1.8,3.6,0.4,0.8,0.0,0.6,4.4
2006-2007 NBA NBA Summer League Stats,Pierre Wooten,NOP,5,22.2,6.6,2.2,6.0,.367,0.0,0.4,.000,2.2,3.4,.647,1.0,0.6,1.6,1.2,0.6,0.0,1.6,3.8
2006-2007 NBA NBA Summer League Stats,Francisco Garcia,SAC,2,21.5,6.5,2.5,7.5,.333,0.5,3.5,.143,1.0,1.5,.667,0.5,3.0,3.5,1.0,1.0,0.5,3.0,4.5
2006-2007 NBA NBA Summer League Stats,Jeff Varem,PHX,5,23.0,6.4,2.2,5.4,.407,0.2,0.8,.250,1.8,2.4,.750,1.0,3.2,4.2,1.6,2.0,0.0,0.6,3.6
2006-2007 NBA NBA Summer League Stats,Curtis Stinson,GSW,5,22.6,6.4,2.2,6.4,.344,0.2,0.4,.500,1.8,2.6,.692,1.0,2.8,3.8,2.8,1.8,0.0,1.2,4.2
2006-2007 NBA NBA Summer League Stats,Walker Russell,NYK,5,19.6,6.4,1.8,4.2,.429,0.2,0.6,.333,2.6,3.0,.867,0.0,1.2,1.2,3.0,0.6,0.0,1.6,2.6
